CODE,DOMES_Number,Site_Name,Plate,Technique,Longitude_deg,Latitude_deg,Ve_mm_yr,Vn_mm_yr,Se_mm_yr,Sn_mm_yr,Re_mm_yr,Rn_mm_yr
SKN0,10480M001,Skanor,Eurasia,P,12.858,55.414,18.08,14.77,0.046,0.055,-0.459,-0.312
SASS,14281M001,Sassnitz,Eurasia,P,13.643,54.514,19.03,14.71,0.028,0.032,0.089,-0.301
CARF,19195M002,Cardiff,Eurasia,P,356.893,51.531,16.31,16.33,0.338,0.417,0.050,0.007
JOZE,12204M001,Jozefoslaw - war,Eurasia,P,21.032,52.097,20.95,14.12,0.030,0.035,-0.030,0.033
DILL,14286M001,Dillingen - saar,Eurasia,P,6.700,49.372,18.98,15.44,0.069,0.087,0.095,-0.333
DIEP,14287M001,Diepholz - niede,Eurasia,P,8.342,52.588,18.52,15.97,0.046,0.058,0.152,0.385
IJMU,13537M001,Ijmuiden,Eurasia,P,4.556,52.462,17.76,16.19,0.047,0.058,0.146,0.300
KARL,14216M001,Karlsruhe,Eurasia,P,8.411,49.011,19.36,15.89,0.031,0.036,0.048,0.261
FERR,10087M001,Cap ferret,Eurasia,P,358.751,44.646,18.56,16.19,0.236,0.261,0.009,-0.165
CNNS,10089M001,Cannes - la bocc,Eurasia,P,7.016,43.555,20.66,16.06,0.085,0.093,0.326,0.220
BORJ,14268M002,Borkum,Eurasia,P,6.666,53.579,17.62,15.53,0.030,0.035,-0.127,-0.184
HOL2,14285M002,Kiel-holtenau,Eurasia,P,10.157,54.373,18.06,15.25,0.067,0.085,-0.205,-0.130
LDB2,14114M002,Lindenberg,Eurasia,P,14.121,52.209,19.60,14.99,0.040,0.051,-0.037,-0.006
COST,11407M001,Constanta,Eurasia,P,28.658,44.162,23.68,12.40,0.052,0.060,-0.115,-0.581
BAIA,11406M001,Baia mare,Eurasia,P,23.558,47.652,22.40,13.50,0.047,0.060,0.019,-0.282
ZARA,13462M001,Zaragoza,Eurasia,P,359.118,41.633,19.09,16.13,0.036,0.040,-0.269,-0.244
PMTG,13289M003,Portsmouth,Eurasia,P,358.889,50.802,16.88,16.51,0.051,0.064,-0.013,0.261
DGLG,10017M002,Malo-les-bains-d,Eurasia,P,2.345,50.994,17.66,16.18,0.083,0.096,0.093,0.115
VIGO,13450M001,Vigo,Eurasia,P,351.187,42.184,17.57,16.84,0.037,0.042,-0.203,0.260
MOBJ,12365M002,Obninsk/moscow s,Eurasia,P,36.570,55.115,22.95,11.49,0.039,0.050,0.007,0.191
SHOE,19197M001,Shoeburyness,Eurasia,P,0.827,51.555,17.34,16.28,0.039,0.047,0.256,0.134
ZWE2,12330M003,Zwenigorod,Eurasia,P,36.758,55.699,22.69,11.57,0.041,0.057,-0.156,0.321
BORR,13480M001,Borriana,Eurasia,P,359.917,39.905,20.13,16.21,0.076,0.089,0.231,-0.152
GELL,10908M001,Gellin,Eurasia,P,14.322,53.450,19.28,14.89,0.131,0.165,-0.083,-0.054
LAMA,12209M001,Lamkowko,Eurasia,P,20.670,53.892,20.38,14.29,0.031,0.036,-0.111,0.180
PALI,19725M001,Salins de giraud,Eurasia,P,4.810,43.376,19.90,16.32,0.065,0.072,-0.086,0.304
HELG,14264M001,Helgoland island,Eurasia,P,7.893,54.174,17.91,15.80,0.082,0.110,0.074,0.203
MALL,13444M001,Palma de mallorc,Eurasia,P,2.625,39.553,20.45,16.34,0.069,0.071,0.009,0.123
KHAR,12314M001,Kharkiv,Eurasia,P,36.239,50.005,24.04,11.96,0.093,0.119,0.124,0.506
TGDE,10320M001,Tregde vannstand,Eurasia,P,7.555,58.006,16.22,15.50,0.043,0.057,-0.433,-0.066
PMTH,13229M001,Plymouth,Eurasia,P,355.874,50.416,16.35,16.59,0.042,0.050,-0.021,0.212
HOLY,19146M001,Holyhead,Eurasia,P,355.358,53.318,15.63,16.48,0.073,0.097,0.247,0.129
PBIL,19153M001,Portland bill,Eurasia,P,357.543,50.522,16.76,15.91,0.223,0.271,0.070,-0.405
EZEV,19896M001,Eze - village,Eurasia,P,7.497,43.774,20.43,15.77,0.049,0.054,0.050,-0.021
WEYB,19178M001,Weybourne,Eurasia,P,1.130,52.945,16.94,15.89,0.043,0.051,0.192,-0.220
ANLX,19163M001,Angle,Eurasia,P,354.921,51.689,15.83,16.43,0.099,0.120,0.046,0.052
AMBL,19967M001,Ambrumesnil,Eurasia,P,0.994,49.859,17.27,15.94,0.223,0.261,-0.328,-0.219
IBIZ,13454S001,Ibiza tide gauge,Eurasia,P,1.449,38.911,20.35,16.28,0.093,0.097,-0.027,-0.020
ROTG,19938M001,Roscoff,Eurasia,P,356.034,48.718,17.04,16.40,0.150,0.178,0.134,0.011
SCOA,10088M002,Ciboure (saint-j),Eurasia,P,358.318,43.395,18.69,16.45,0.053,0.060,-0.092,0.065
BEA2,10079S001,Port-vendres,Eurasia,P,3.137,42.515,20.82,15.43,0.331,0.341,0.948,-0.714
MIMZ,19841M001,Mimizan,Eurasia,P,358.772,44.201,18.95,16.55,0.085,0.096,0.283,0.195
BIAZ,10074M002,Biarritz,Eurasia,P,358.463,43.472,19.21,16.24,0.076,0.086,0.421,-0.144
GOPE,11502M002,Pecny - ondrejov,Eurasia,P,14.786,49.914,20.44,14.99,0.035,0.041,0.118,0.042
SMTG,19936M001,Saint-malo,Eurasia,P,357.973,48.641,17.49,16.36,0.376,0.410,0.166,0.038
SWAS,19193M001,Swansea,Eurasia,P,356.018,51.566,16.18,16.54,0.043,0.052,0.126,0.184
CAMP,19916M001,Campo dell oro a,Eurasia,P,8.791,41.918,20.95,16.06,0.065,0.070,-0.051,0.355
SARI,19917M001,Sari solenzara,Eurasia,P,9.403,41.858,21.28,15.90,0.117,0.126,0.166,0.254
LURI,19920M001,Luri,Eurasia,P,9.476,42.888,20.82,16.18,0.116,0.127,-0.093,0.556
LEIJ,14267M001,Leipzig,Eurasia,P,12.374,51.354,19.40,15.24,0.049,0.062,-0.111,0.039
EXMO,19167M001,Exmouth,Eurasia,P,356.590,50.613,16.84,16.22,0.081,0.100,0.371,-0.122
COUD,19868M001,Coudekerque-bran,Eurasia,P,2.374,51.023,17.44,16.03,0.074,0.088,-0.118,-0.028
WARN,14277M002,Warnemuende,Eurasia,P,12.101,54.170,18.64,15.28,0.038,0.046,-0.078,0.098
